;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CT_MODULE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_module_id;_unique_name;_name;_academic_year;_deptName;_staff1Name;_staff2Name;_tag1;_tag2;_tag3;_weekly_target;_total_target;_schedulable;_www;;;;;;;;;;;;;;;
969;Języki program w AD;Języki program w AD;;;;;;;;;;Y;;;;;;;;;;;;;;;;
970;Kierunki rozwoju SK;Kierunki rozwoju SK;;;;;;;;;;Y;;;;;;;;;;;;;;;;
971;Kodowanie i kompresja danych;Kodowanie i kompresja danych;;;;;;;;;;Y;;;;;;;;;;;;;;;;
972;Koło Naukowe;Koło Naukowe;;;;;;;;;;Y;;;;;;;;;;;;;;;;
973;Komp. wspomaganie proj.;Komp. wspomaganie proj.;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
974;Kompoziting i efekty spec.;Kompoziting i efekty spec.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
975;Kompozycja obrazów ruch.;Kompozycja obrazów ruch.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
976;Kompozycja obrazu komputerowego;Kompozycja obrazu komputerowego;;;;;;;;;;Y;Ftims;;;;;;;;;;;;;;;
977;Kompozycja przestrzeni;Kompozycja przestrzeni;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1845;Komput. wspomag. proj. z elem. normal.;Komput. wspomag. proj. z elem. normal.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
978;Komput. wspomaganie projekt.;Komput. wspomaganie projekt.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
979;Komputerowe obliczenia matemat.;Komputerowe obliczenia matemat.;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
980;Komputerowe systemy rozpoznawania;Komputerowe systemy rozpoznawania;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
981;Komputerowe techniki ED;Komputerowe techniki ED;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
982;Komputery w mediach;Komputery w mediach;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
983;Komunikacja społeczna;Komunikacja społeczna;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
984;KONFERENCJA  NAUKOWA;KONFERENCJA  NAUKOWA;;;;;;;;;;Y;;;;;;;;;;;;;;;;
985;Koszty logistyczne;Koszty logistyczne;;;;;;;;;;Y;;;;;;;;;;;;;;;;
986;Kryształy fotoniczne-model i zast;Kryształy fotoniczne-model i zast;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1876;Kulturowe i etyczne asp. inform.;Kulturowe i etyczne asp. inform.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
987;Kurs przygotowawczy z matematyki i fizyki;Kurs przygotowawczy z matematyki i fizyki;;;;;;;;;;Y;;;;;;;;;;;;;;;;
988;Kurs wyrównawczy M;Kurs wyrównawczy M;;;;;;;;;;Y;I2;;;;;;;;;;;;;;;
989;Lab. z fotoniki II - optoel. elastyczna;Lab. z fotoniki II - optoel. elastyczna;;;;;;;;;;Y;;;;;;;;;;;;;;;;
990;Laboratorium z fotoniki I;Laboratorium z fotoniki I;;;;;;;;;;Y;;;;;;;;;;;;;;;;
991;Lasery w diag. i terapii med.;Lasery w diag. i terapii med.;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
992;Lasery w diagnostyce i terapii med I;Lasery w diagnostyce i terapii med I;;;;;;;;;;Y;;;;;;;;;;;;;;;;
993;Lasery w diagnostyce i terapii med II;Lasery w diagnostyce i terapii med II;;;;;;;;;;Y;;;;;;;;;;;;;;;;
994;Lasery w diagnostyce i terapii medycznej;Lasery w diagnostyce i terapii medycznej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
995;LaTeX - kurs redagowania;LaTeX - kurs redagowania;;;;;;;;;;Y;;;;;;;;;;;;;;;;
996;Logistyka produkcji;Logistyka produkcji;;;;;;;;;;Y;;;;;;;;;;;;;;;;
997;Low Level Programming;Low Level Programming;;;;;;;;;;Y;;;;;;;;;;;;;;;;
998;Marketing internetowy;Marketing internetowy;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1839;Matem. metody MP i UD;Matem. metody MP i UD;;;;;;;;;;Y;;;;;;;;;;;;;;;;
999;Matem. ubezp. życiowych;Matem. ubezp. życiowych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1000;Matematyczne metody infor.;Matematyczne metody infor.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
2047;Matematyczne modelowanie... (SD);Matematyczne modelowanie... (SD);;;;;;;;;;Y;;;;;;;;;;;;;;;;
1001;Matematyka - IK;Matematyka - IK;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1002;Matematyka dyskretna;Matematyka dyskretna;;;;;;;;90;1350;Y;WFTIMS;;;;;;;;;;;;;;;
1003;Matematyka dyskretna - M;Matematyka dyskretna - M;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1004;Matematyka finansowa;Matematyka finansowa;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1005;Matematyka grafiki komput.;Matematyka grafiki komputerowe;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1006;Matematyka I;Matematyka I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1007;Matematyka I - L;Matematyka I - L;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1008;Matematyka II;Matematyka II;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1009;Matematyka ubezp. majątkowych;Matematyka ubezp. majątkowych;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1010;Matematyka UŻ  - kurs do PEA;Matematyka UŻ  - kurs do PEA;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1011;Matematyka w ekonomii;Matematyka w ekonomii;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1012;Materiały i przyrządy optoel.;Materiały i przyrządy optoel.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1013;Materiały i przyrządy optoelektr.;Materiały i przyrządy optoelektr.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1014;Mechanika teoretyczna;Mechanika teoretyczna;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
1015;Met. symul. komp. w ukł. skondens.;Met. symul. komp. w ukł. skondens.;;;;;;;;;;Y;I3;;;;;;;;;;;;;;;
1016;Metoda Elementów Skończonych II;Metoda Elementów Skończonych II;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1017;Metodt optymalizacji liniowej;Metodt optymalizacji liniowej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1018;Metody analityczne w ns;Metody analityczne w ns;;;;;;;;;;Y;;;;;;;;;;;;;;;;
